"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06224","","","","","25631","GVF-CM-ECO06224","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Kerivoula cuprosa","Kerivoula cuprosa","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788666","GVF-CM-ECO06224DS1","2011-06-09","Tissue ","extracted DNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06224","","","","","25631","GVF-CM-ECO06224","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Kerivoula cuprosa","Kerivoula cuprosa","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788680","GVF-CM-ECO06224ES1","2011-06-09","Tissue ","Extracted RNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06225","","","","","25632","GVF-CM-ECO06225","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Kerivoula cuprosa","Kerivoula cuprosa","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788681","GVF-CM-ECO06225DS1","2011-06-09","Tissue ","extracted DNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06225","","","","","25632","GVF-CM-ECO06225","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Kerivoula cuprosa","Kerivoula cuprosa","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788682","GVF-CM-ECO06225ES1","2011-06-09","Tissue ","Extracted RNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06231","","","","","25638","GVF-CM-ECO06231","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Hipposideros fuliginosus","Hipposideros fuliginosus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788693","GVF-CM-ECO06231DS1","2011-06-08","Tissue ","extracted DNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06231","","","","","25638","GVF-CM-ECO06231","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Hipposideros fuliginosus","Hipposideros fuliginosus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788694","GVF-CM-ECO06231ES1","2011-06-08","Tissue ","Extracted RNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06227","","","","","25634","GVF-CM-ECO06227","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Rhinolophus landeri","Rhinolophus landeri","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788685","GVF-CM-ECO06227DS1","2011-06-09","Tissue ","extracted DNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06227","","","","","25634","GVF-CM-ECO06227","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Rhinolophus landeri","Rhinolophus landeri","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788686","GVF-CM-ECO06227ES1","2011-06-09","Tissue ","Extracted RNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06228","","","","","25635","GVF-CM-ECO06228","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Hipposideros fuliginosus","Hipposideros fuliginosus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788687","GVF-CM-ECO06228DS1","2011-06-08","Tissue ","extracted DNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06228","","","","","25635","GVF-CM-ECO06228","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Hipposideros fuliginosus","Hipposideros fuliginosus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","788688","GVF-CM-ECO06228ES1","2011-06-08","Tissue ","Extracted RNA (Liver (no medium) + Spleen (no medium))","","","","","","","","","","","","","","","","","","","","","11/23/2012 11:57:06 AM","7176","False"
