"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18814","GVF-CM-ECO05899SI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18897","GVF-CM-ECO05899SP1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18805","GVF-CM-ECO05899EE1","2011-02-18","External parasite","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18904","GVF-CM-ECO05900OR1","2011-02-18","Oral swab","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18905","GVF-CM-ECO05900RR1","2011-02-18","Rectal swab ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18898","GVF-CM-ECO05900DN1","2011-02-18","Blood drop (protein saver) ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18899","GVF-CM-ECO05900KI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18900","GVF-CM-ECO05900LE1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18901","GVF-CM-ECO05900LI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18902","GVF-CM-ECO05900LU1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18903","GVF-CM-ECO05900LV1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18906","GVF-CM-ECO05900SI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05900","","","","","6798","GVF-CM-ECO05900","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18907","GVF-CM-ECO05900SP1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18914","GVF-CM-ECO05901OR1","2011-02-18","Oral swab","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18915","GVF-CM-ECO05901RR1","2011-02-18","Rectal swab ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18908","GVF-CM-ECO05901DN1","2011-02-18","Blood drop (protein saver) ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18909","GVF-CM-ECO05901KI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18910","GVF-CM-ECO05901LE1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18911","GVF-CM-ECO05901LI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05901","","","","","6799","GVF-CM-ECO05901","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Male","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18912","GVF-CM-ECO05901LU1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
