"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Avangane, about 40km east of Nkoteng","Avangane, about 40km east of Nkoteng-2011-02-19","Cameroon","East","","4.269","12.255","","","","established village or indigenous settlement","none of these","none","","2011-02-19","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05908","","","","","6796","GVF-CM-ECO05908","","2011-02-19","","","hunter","","","Wild","Bats","Mops condylurus","Mops condylurus","","","Estimate","","Unknown","","","","","killed (carcass > 48 hours old) ","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18312","GVF-CM-ECO05908SL1","2011-02-24","Bone","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18812","GVF-CM-ECO05899OR1","2011-02-18","Oral swab","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18813","GVF-CM-ECO05899RR1","2011-02-18","Rectal swab ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18804","GVF-CM-ECO05899DN1","2011-02-18","Blood drop (protein saver) ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18806","GVF-CM-ECO05899FE1","2011-02-18","Feces ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18807","GVF-CM-ECO05899KI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18808","GVF-CM-ECO05899LE1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18809","GVF-CM-ECO05899LI1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18810","GVF-CM-ECO05899LU1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
"Cave near Boteva village, 25 km east of Buea","Cave near Boteva village, 25 km east of Buea-2011-02-12","Cameroon","Southwest","","4.22717","9.28279","","","","none of these","none of these","none","","2011-02-12","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05899","","","","","6797","GVF-CM-ECO05899","","2011-02-12","","","hunter","","","Wild","Bats","Hipposideros caffer","Hipposideros caffer","","","Estimate","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","18811","GVF-CM-ECO05899LV1","2011-02-18","Tissue ","","","","","","","","","","","","","","","","","","","","","","3/11/2011 6:35:51 PM","","False"
