"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Akam, Koumeli river/swamp ca 500 m west of village.","Akam, Koumeli river/swamp ca 500 m west of village.-Oct 23 2010","Cameroon","South","","2.3461","11.8317","","","","area with hunting","none of these","none","","2010-10-23","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05852","","","","","5571","GVF-CM-ECO05852","","2010-10-23","","","Jean Michel Takuo","","","Wild","Bats","Epomops franqueti","Epomops franqueti","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","449878","GVF-CM-ECO05852P1","2010-11-01","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Akam, Koumeli river/swamp ca 500 m west of village.","Akam, Koumeli river/swamp ca 500 m west of village.-Oct 23 2010","Cameroon","South","","2.3461","11.8317","","","","area with hunting","none of these","none","","2010-10-23","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO05852","","","","","5571","GVF-CM-ECO05852","","2010-10-23","","","Jean Michel Takuo","","","Wild","Bats","Epomops franqueti","Epomops franqueti","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","449990","GVF-CM-ECO05852P2","2010-11-01","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449876","GVF-CM-ECO52004C2.3","2011-01-19","Red blood cells ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449877","GVF-CM-ECO52004P2.1","2011-01-19","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449928","GVF-CM-ECO52004P1.3","2011-01-19","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449971","GVF-CM-ECO52004P2.2","2011-01-19","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449972","GVF-CM-ECO52004P2.3","2011-01-19","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449879","GVF-CM-ECO52004C2.4","2011-01-19","Red blood cells ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449880","GVF-CM-ECO52004P1.1","2011-01-19","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
"Atong, 13km west of Akam","Atong, 13km west of Akam 2009-02-18","Cameroon","South","","2.3922","11.7281","","Mixed habitat (forest, grassland, agriculture, livestock and pasture areas)","","","","","","2009-02-18","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO52004","","","","","97732","GVF-CM-ECO52004","","","","","Ahmadou Nana","","","Captive Wild","Primates","Pan troglodytes","Pan troglodytes","","","Actual","","Female","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","449881","GVF-CM-ECO52004P1.2","2011-01-19","Plasma ","","","","","","","","","","","","","","","","","","","","","","3/15/2012 6:21:34 PM","1081","False"
