"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0009","","","","","33647","LAP11-E0009","","2011-03-07","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Dremomys rufigenis","Dremomys rufigenis","Red-cheeked squirrel","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","19.4","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199079","LAP11E-0009 OP-RNA","2011-03-07","Oral swab","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0009 OP<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0009","","","","","33647","LAP11-E0009","","2011-03-07","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Dremomys rufigenis","Dremomys rufigenis","Red-cheeked squirrel","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","19.4","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199078","LAP11E-0009 R-RNA","2011-03-07","Rectal swab ","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0009 R<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0009","","","","","33647","LAP11-E0009","","2011-03-07","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Dremomys rufigenis","Dremomys rufigenis","Red-cheeked squirrel","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","19.4","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199080","LAP11E-0009 U-RNA","2011-03-07","Urine/Urogenital swab","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0009 U<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0001","","","","","33648","LAP11-E0001","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Leopoldamys sabanus","Leopoldamys sabanus","Long-tailed giant rat","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","21","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199093","LAP11E-0001 FP","2011-03-06","Whatman paper","","Frozen -20oC","","Swab ","No","","FTA cards","FTA cards","Envelope with Dessicant","Freezer (-20C)","Wildlife Conservation Society","Laboratory freezer","Sisavad Tai village, House number: 173, Unit number: 15, Chanthabuly district, Vientiane Lao PDR.","","","","","","","","<b>Laos sample ID</b>: LAP11E-0001 FP<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0001","","","","","33648","LAP11-E0001","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Leopoldamys sabanus","Leopoldamys sabanus","Long-tailed giant rat","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","21","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199092","LAP11E-0001 OP-RNA","2011-03-06","Oral swab","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0001 OP<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0001","","","","","33648","LAP11-E0001","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Leopoldamys sabanus","Leopoldamys sabanus","Long-tailed giant rat","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","21","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199091","LAP11E-0001 R-RNA","2011-03-06","Rectal swab ","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0001 R<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0002","","","","","33649","LAP11-E0002","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Leopoldamys sabanus","Leopoldamys sabanus","Long-tailed giant rat","","Actual","","Female","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","20.8","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199096","LAP11E-0002 FP","2011-03-06","Whatman paper","","Frozen -20oC","","Swab ","No","","FTA cards","FTA cards","Envelope with Dessicant","Freezer (-20C)","Wildlife Conservation Society","Laboratory freezer","Sisavad Tai village, House number: 173, Unit number: 15, Chanthabuly district, Vientiane Lao PDR.","","","","","","","","<b>Laos sample ID</b>: LAP11E-0002 FP<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0002","","","","","33649","LAP11-E0002","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Leopoldamys sabanus","Leopoldamys sabanus","Long-tailed giant rat","","Actual","","Female","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","20.8","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199095","LAP11E-0002 OP-RNA","2011-03-06","Oral swab","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0002 OP<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0002","","","","","33649","LAP11-E0002","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Leopoldamys sabanus","Leopoldamys sabanus","Long-tailed giant rat","","Actual","","Female","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","20.8","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199094","LAP11E-0002 R-RNA","2011-03-06","Rectal swab ","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0002 R<br/>","9/6/2011 2:15:35 PM","3122","False"
"Houay Dturn Village","Houay Dturn Village-2011-03-06","Lao Peoples Democratic Republic","Houaphan","Vieng Thong","20.16654","103.22275","","Mountain ","","","","","","2011-03-06","","1 month","Lucy Ogg Keatts","Kongsy KHAMMAVONG","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","LAP11-E0003","","","","","33650","LAP11-E0003","","2011-03-06","","","Vannasin Inoudom","Opportunistic","National Animal Health Centre, Vientiane","Captive Wild","Rodents","Hapalomys delacouri","Hapalomys delacouri","Lesser marmoset-rat","","Actual","","Male","Adult","","","","Dead","True","","Fresh dead ","","Food","","Local","Known","Houy Dturn village","<1 hour","N/A","","No","","No","","Head and body","cm","14.2","","","","","","","","","","Yes","","None","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","199098","LAP11E-0003 OP-RNA","2011-03-06","Oral swab","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Liquid Nitrogen","Freezer (-80C)","National Animal Health Centre","Animal Diagnostic Laboratory","Souphanouvong Street, 2Km, Khuntathong Village, Sikottabong district, Vientiane Capital","1","","","","","","","<b>Laos sample ID</b>: LAP11E-0003 OP<br/>","9/6/2011 2:15:35 PM","3122","False"
