"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"0.8km E of Mbebe, In riperian forest on Sanaga River","0.8km E of Mbebe, In riperian forest on Sanaga River-2011-06-08","Cameroon","Centre","","4.16261","11.02108","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06231","","","","","25638","GVF-CM-ECO06231","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Hipposideros fuliginosus","Hipposideros fuliginosus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","207885","GVF-CM-ECO06231P1","2011-06-08","Plasma ","","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"1km E of Mbebe, in riperian forest on Sanager River","1km E of Mbebe, in riperian forest on Sanager River-2011-06-08","Cameroon","Centre","","4.16258","11.01894","","","","none of these","none of these","none","","2011-06-08","00:00:00","","Jean Michel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","Active surveillance","","","GVF-CM-ECO06230","","","","","25637","GVF-CM-ECO06230","","2011-06-08","","","Jean Michel Takuo","","","Wild","Bats","Rhinolophus landeri","Rhinolophus landeri","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","207840","GVF-CM-ECO06230LE1","2011-06-08","Tissue ","Liver (ethanol - 95%)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Akam, south of Mvangan","Akam, south of Mvangan-Oct 25 2010","Cameroon","South","","2.3449","11.8231","","","","","","","","2010-10-25","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO06560","","","","","36791","GVF-CM-ECO06560","","2010-10-25","","","AN","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Actual","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","208056","GVF-CM-ECO06560KI1","2011-05-07","Tissue ","Kidney (no medium)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Akam, south of Mvangan","Akam, south of Mvangan-Oct 25 2010","Cameroon","South","","2.3449","11.8231","","","","","","","","2010-10-25","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO06560","","","","","36791","GVF-CM-ECO06560","","2010-10-25","","","AN","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Actual","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","208057","GVF-CM-ECO06560LI1","2011-05-07","Tissue ","Large intestine (no medium)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Akam, south of Mvangan","Akam, south of Mvangan-Oct 25 2010","Cameroon","South","","2.3449","11.8231","","","","","","","","2010-10-25","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO06560","","","","","36791","GVF-CM-ECO06560","","2010-10-25","","","AN","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Actual","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","208058","GVF-CM-ECO06560LU1","2011-05-07","Tissue ","Lung  (no medium)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Akam, south of Mvangan","Akam, south of Mvangan-Oct 25 2010","Cameroon","South","","2.3449","11.8231","","","","","","","","2010-10-25","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO06560","","","","","36791","GVF-CM-ECO06560","","2010-10-25","","","AN","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Actual","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","208059","GVF-CM-ECO06560LV1","2011-05-07","Tissue ","Liver (no medium)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Akam, south of Mvangan","Akam, south of Mvangan-Oct 25 2010","Cameroon","South","","2.3449","11.8231","","","","","","","","2010-10-25","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO06560","","","","","36791","GVF-CM-ECO06560","","2010-10-25","","","AN","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Actual","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","208060","GVF-CM-ECO06560SI1","2011-05-07","Tissue ","Small intestine (no medium)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Akam, south of Mvangan","Akam, south of Mvangan-Oct 25 2010","Cameroon","South","","2.3449","11.8231","","","","","","","","2010-10-25","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO06560","","","","","36791","GVF-CM-ECO06560","","2010-10-25","","","AN","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Actual","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","208061","GVF-CM-ECO06560SP1","2011-05-07","Tissue ","Spleen (no medium)","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Aloum I, 4 km S of Nyabissan","Aloum I, 4 km S of Nyabissan-2011-04-08","Cameroon","South","","2.383","10.4536","","","","","","","","2011-04-08","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO98560","","","","","36704","GVF-CM-ECO98560","","2011-04-08","","","hunter","","","Wild","Rodents","Cricetomys emini","Cricetomys emini","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","208375","GVF-CM-ECO98560DN1","2011-06-28","Blood drop (protein saver) ","","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
"Aloum I, 4 km S of Nyabissan","Aloum I, 4 km S of Nyabissan-2011-04-08","Cameroon","South","","2.383","10.4536","","","","","","","","2011-04-08","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO98561","","","","","36705","GVF-CM-ECO98561","","2011-04-08","","","hunter","","","Wild","Rodents","Atherurus africanus","Atherurus africanus","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q3:  Apr 1 - Jun 30, 2011","","","208376","GVF-CM-ECO98561DN1","2011-06-10","Blood drop (protein saver) ","","","","","","","","","","","","","","","","","","","","","","9/16/2011 4:37:52 PM","3174","False"
