"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428055","WCS06810B0001FTAd.1.3","2010-08-13","Blood drop (FTA) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B0001FTAd.1.3","FTA cards","FTA cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428056","WCS06810B00001SE1","2010-08-13","Blood (whole)","Sangre entera colectada directamente del corazón (whole blood collected from the heart)","Room temperature: 20-25oC","","Venipuncture","No","","Blood tube","","Ice cooler","N/A","N/A","N/A","N/A","","Other","No","Yes","Centrifuge","1","","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428057","WCS06810B00001SUd.1.1","2010-08-13","Serum ","Suero (serum)","Room temperature: 20-25oC","","Venipuncture","Yes","WCS06810B00001SUd.1.1","Cryotube ","Frozen with no medium","Liquid Nitrogen","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","5","Other","N/A","N/A","Centrifuge","0.5","Muestra enviada a laboratorios de CENTROP para análisis de Arenavirus, flavivirus y arenavirus (samples sent to CENTROP laboratory for analysis of Arenavirus and Flavivirus)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428058","WCS06810B00001SUd.1.2","2010-08-13","Serum ","Suero (serum)","Room temperature: 20-25oC","","Venipuncture","Yes","WCS06810B00001SUd.1.2","Cryotube ","Frozen with no medium","Liquid Nitrogen","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","5","Other","N/A","N/A","Centrifuge","0.5","","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428059","WCS06810B0001FTAd.1.1","2010-08-13","Blood drop (FTA) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B0001FTAd.1.1","FTA cards","FTA cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428060","WCS06810B0001FTAd.1.2","2010-08-13","Blood drop (FTA) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B0001FTAd.1.2","FTA cards","FTA cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428061","WCS06810B0001FTAd.1.4","2010-08-13","Blood drop (FTA) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B0001FTAd.1.4","FTA cards","FTA cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428062","WCS06810B00001PSd.1.1","2010-08-13","Blood drop (protein saver) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B00001PSd.1.1","Blood drop (protein saver)","Protein saver cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428063","WCS06810B00001PSd.1.2","2010-08-13","Blood drop (protein saver) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B00001PSd.1.2","Blood drop (protein saver)","Protein saver cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
"Asunción del Quiquibey - Evento B","Asunción del Quiquibey - Evento B 2010-08-13","Bolivia","Ballivian","Beni","-15.5140556","-67.1328944","","Bosque amazónico","","","","","","2010-08-13","","one day","Jose Luis Mollericona","Erika Alandia","Wildlife Conservation Society","False","Actual","hunted","","","","Opportunistic","Yes","","WCS06810B00001","","","","","85123","WCS06810B00001","","2010-08-13","","","Jose Luis Mollericona","Directa (direct)","IBMB-WCS/Bolivia","Wild","Rodents","Agouti paca","Cuniculus paca","Spotted paca","Jochi pintao","Actual","No","Female","Adult","Yes","No","","Dead","True","","Fresh dead ","","Food","","Consumo local (local consumtion)","","","","","","N/A","","Necropsy","Quiste hallado en hígado (cyst identified in the liver)","","","","","","","","","","","","","Yes","Hunter","All","No","FY1 Q4:  Jul 1 - Sep 30, 2010","Animal cazado por la noche. Un feto, casi a término de la gestación (Animal hunted at night. A fetus; near term of pregnancy).","","428064","WCS06810B00001PSd.1.3","2010-08-13","Blood drop (protein saver) ","Muestra impresa por goteo de sangre (sample printed with blood drop)","Room temperature: 20-25oC","","Blood drop ","Yes","WCS06810B00001PSd.1.3","Blood drop (protein saver)","Protein saver cards","Silica Dessicant ","Freezer (-80C)","Instituto de Biologia Molecular y Biotecnología","Laboratorio de Diagnóstico Veterinario ","Cota Cota, calle Nº27. Campus Universitario","4128","","N/A","N/A","N/A","","Hora y fecha de congelación 4/02/20111 hrs 13:00 (time and date of freezing)","","3/1/2012 5:11:53 PM","3689","False"
