"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0028","","","","","1913","WCS11610.0028","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 51.2<br/><b>Body Weight (g)</b>: 21<br/><b>Ectoparasites</b>: Yes<br/>","3154","WCS11610.0028.O01","","Oral swab","","Frozen - other","","","","","Cryotube ","Viral transport media","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0028","","","","","1913","WCS11610.0028","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 51.2<br/><b>Body Weight (g)</b>: 21<br/><b>Ectoparasites</b>: Yes<br/>","3155","WCS11610.0028.R01","","Rectal swab ","","Frozen - other","","","","","Cryotube ","Viral transport media","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0028","","","","","1913","WCS11610.0028","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 51.2<br/><b>Body Weight (g)</b>: 21<br/><b>Ectoparasites</b>: Yes<br/>","3156","WCS11610.0028.O02","","Oral swab","","Frozen - other","","","","","Cryotube ","Lysis_buffer","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0028","","","","","1913","WCS11610.0028","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 51.2<br/><b>Body Weight (g)</b>: 21<br/><b>Ectoparasites</b>: Yes<br/>","3157","WCS11610.0028.R02","","Rectal swab ","","Frozen - other","","","","","Cryotube ","Lysis_buffer","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0029","","","","","1914","WCS11610.0029","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","","3158","WCS11610.0029.O01","","Oral swab","","Frozen - other","","","","","Cryotube ","Viral transport media","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0029","","","","","1914","WCS11610.0029","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","","3159","WCS11610.0029.R01","","Rectal swab ","","Frozen - other","","","","","Cryotube ","Viral transport media","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0029","","","","","1914","WCS11610.0029","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","","3160","WCS11610.0029.O02","","Oral swab","","Frozen - other","","","","","Cryotube ","Lysis_buffer","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0029","","","","","1914","WCS11610.0029","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","","3161","WCS11610.0029.R02","","Rectal swab ","","Frozen - other","","","","","Cryotube ","Lysis_buffer","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0030","","","","","1915","WCS11610.0030","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 53.1<br/><b>Body Weight (g)</b>: 18<br/><b>Ectoparasites</b>: Yes<br/>","3162","WCS11610.0030.O01","","Oral swab","","Frozen - other","","","","","Cryotube ","Viral transport media","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0030","","","","","1915","WCS11610.0030","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 53.1<br/><b>Body Weight (g)</b>: 18<br/><b>Ectoparasites</b>: Yes<br/>","3163","WCS11610.0030.R01","","Rectal swab ","","Frozen - other","","","","","Cryotube ","Viral transport media","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
"Kon Khlong I","Kon Khlong I 2010-07-12","Cambodia","Battambang","Moung Russei","12.91629","103.36492","Agriculture","30 km south of 3rd largest city;","","","","","","2010-07-12","16:00:00","24 hours","Priscilla Joyner","Chea Sokha","WCS","False","Actual","hunted","","","","Active surveillance","Yes","","WCS11610.0030","","","","","1915","WCS11610.0030","","2010-07-12","","","Priscilla Joyner","","","Wild","Bats","Scotophilus kuhlii","Scotophilus kuhlii","","","Actual","","Female","Adult","No","No","No","Apparently healthy","True","","","","","","","","","","No","","No","","No","","","","","","","","","","","","","","Yes","","","","FY1 Q4:  Jul 1 - Sep 30, 2010","","<b>Forearm Length (mm)</b>: 53.1<br/><b>Body Weight (g)</b>: 18<br/><b>Ectoparasites</b>: Yes<br/>","3164","WCS11610.0030.O02","","Oral swab","","Frozen - other","","","","","Cryotube ","Lysis_buffer","","","","","","48","","","","","","","","11/30/2010 3:10:45 PM","","False"
