"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683510","MPE03871.3","2012-03-28","Oral swab","","Frozen -80oC","","Swab ","No","","Viral transport media","Viral transport media","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP Lab., NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683511","MPE03872.3","2012-03-28","Rectal swab ","","Frozen -80oC","","Swab ","No","","Viral transport media","Viral transport media","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP Lab., NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683512","MPE03871.2","2012-03-28","Oral swab","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP Lab., NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683513","MPE03872.2","2012-03-28","Rectal swab ","","Frozen -80oC","","Swab ","No","","Cryotube ","RNA-later","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP Lab., NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683514","MPE03871.1","2012-03-28","Oral swab","","Room temperature: 20-25oC","","Swab ","No","","Cryotube ","Lysis_buffer","Ambient temperature","Ambient temperature","NAMRU-6, Lima","EIP Lab., NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","","","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683515","MPE03874","2012-03-28","Blood (whole)","","Frozen -80oC","","Venipuncture","No","","Blood tube","EDTA","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP_NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","EDTA","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683516","MPE03874.1","2012-03-28","Blood drop (FTA) ","","Frozen -80oC","","Venipuncture","Yes","MPE03874.1","FTA cards","FTA cards","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP Lab., NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","EDTA","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683517","MPE03874.2","2012-03-28","Blood drop (protein saver) ","","Frozen -80oC","","Venipuncture","Yes","MPE03874.2","Protein saver cards","Protein saver cards","Ice cooler","Freezer (-80C)","NAMRU-6, Lima","EIP_NAMRU-6, Lima","Av. Venezuela cdra 36 S/N, Lima ","4","EDTA","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683518","MPE03874.3.1","2012-03-28","Blood smear","","Room temperature: 20-25oC","","Venipuncture","Yes","MPE03874.3.1","Slides/Slide boxes ","Methanol","Ambient temperature","Ambient temperature","NAMRU-6, Lima","NAMRU- 6_Parasitology Lab, Lima","Av. Venezuela cdra 36 S/N, Lima ","","EDTA","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
"ATFFS-Lima","ATFFS-Lima-2012-03-28","Peru","Lima","Jesus Maria","-12.080031","-77.052253","Urban unplanned settlement (slum)","","high (converted)","urban","none of these","none","","2012-03-28","","1 day","Patricia Mendoza","Nancy Cavero ( Data Entry)","Wildlife Conservation Society","False","Actual","temporary holding facility","","rehabilitation center","","Opportunistic","No","","MPE0387","","","","","144040","MPE0387","","2012-03-28","","","Yovana Murillo","Direct","","Captive Wild","Primates","Cebus apella","Cebus apella","","Mono machin negro","Actual","","Female","Adult","","","","Apparently healthy","True","Apparently healthy","","","","","","","","","","","No","","Physical Exam","","","","","","","","","","","","","","No","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","683519","MPE03874.3.2","2012-03-28","Blood smear","","Room temperature: 20-25oC","","Venipuncture","Yes","MPE03874.3.2","Slides/Slide boxes ","Methanol","Ambient temperature","Ambient temperature","NAMRU-6, Lima","NAMRU- 6_Parasitology Lab, Lima","Av. Venezuela cdra 36 S/N, Lima ","","EDTA","No","No","","","","","8/16/2012 11:51:48 AM","5602","False"
